worker_id	turker_id	num_examples	accent	gender	creak	hoarseness	muffled-ness	volume	background_noise
47317d553db3431e9fe128afa5b849d9	ARL7HOWLEHNOP	264	no	woman	no	no	1	3	1
0308952526ae4bd692928c85b9f3abfb	A3KAJ085J9OR0Z	7	no	man	yes	yes	2	3	3
3c05e83ec8704dd8a72f3110365bf32e	AJY5G987IRT25	36	yes	man	yes	no	2	3	2
188a6b8bf6084fc2b4deb04b1b3e8b76	A10042UW3Q59GF	9	yes	woman	no	no	1	3	1
ac874c0428284b4f896618fc6ae93573	A3OMRMNTOU7QXI	18	no	man	yes	no	3	4	1
557e647285d84eba8c6cf2af20b964fd	A2PTXQ060AH5S5	8	yes	woman	no	no	1	2	2
f510b8bd8b824efa8706a59d484c13fd	A1VXQ7LMBTE5LF	194	no	woman	yes	no	1	3	1
a99dca17018e4af6a6b8cb37665d2e2c	A36F8PDK1DMAN1	55	no	woman	yes	no	1	2	2
7f20f7284214498e92d8394800fff961	A1HSYKFPG7T2TE	63	yes	man	no	no	1	4	2
7451d19ce2244e299c7d393b097aa882	AUKIQ4JR04MDJ	18	no	woman	no	yes	1	2	1
de9203105cc4422a97f9832674f3c30e	A19Y8QDS9ABVD4	87	no	man	no	yes	2	3	1
4aabf56543b54071b701d4ae8ac6284a	A2HHIBGZ7HDJZS	28	yes	woman	no	no	1	2	2
f05881ad24e543bea138df8a40a517a2	A1O615VHE577MB	100	no	man	no	yes	3	2	2
d39aace8f2b046cab2fad42144fa6107	A2YNPKYEFDZ6C9	49	no	woman	yes	yes	2	2	2
492c699ecf9249409c0111f510a0d105	A181IS1TFLFH3X	20	no	man	yes	no	3	4	2
71646118024b437497428452a8658b87	A3AF4X8HJQM2S6	98	no	woman	yes	no	2	4	2
0e29c52b241946f5944a83a562457030	A1P0SZ4C7PLX7K	43	yes	man	no	no	1	4	3
c1118cb72f084669bc494b653408e84f	A3N2NKUWP5ZH7	12	no	woman	yes	no	3	4	3
5e67ad1e8c294f04a1eb997584af4ead	A2825I2XO6KZEP	111	yes	man	yes	no	3	3	4
7fd9e07983a1423aa9792ab68d9b614d	A30YR5TPOKQYXJ	96	no	woman	no	no	2	3	2
9154a9bc295f4c8cbc0aecb3b2932374	A344S14EBWE8L4	6	yes	man	no	no	2	3	2
d48d673b048e434a9b09b9d937ccbf7e	A3LA5P3N3KI8U7	924	no	woman	no	no	1	3	1
9521eeb9d527410ab170d2f2b394a55a	A2K56Y949TYAY6	177	yes	man	no	no	1	3	4
b5bc10001f3d42558f3133c096ebed56	A33GYW2BKVC1DY	10	yes	woman	no	no	2	2	3
def710e2f12f4cf7878090982866cfd1	A2N5KV92OLKGZX	17	no	woman	yes	yes	3	2	1
bba2d45371d54df59881038d3370583f	A2XPKBKZNT80U9	26	no	woman	no	no	1	4	1
8eb20f3f2e6d4cf0a487d99648beb5a3	A2AZPN49QNMLSD	43	no	man	no	no	1	3	1
8a21d3d2f3df4f84923440374b5dddca	A37K57HHI0D45X	66	yes	woman	no	no	2	2	1
4941f0b2ee7f4dc6971a8e0fe1206fc0	A2TEWO3WJ5YKGG	250	yes	woman	yes	no	1	3	1
4226729554b04f76be0c04589f971a98	AWIBHH87SWYM1	86	no	man	no	no	2	2	1
74b14009e1ae4f87907d0491c8d2068d	A1E77HZO63E334	898	no	man	no	no	2	2	2
ee21500952ba40209cd2a5bafe6c72fc	A4D99Y82KOLC8	291	yes	man	no	no	2	2	2
698b343877ee41f083a4620d06446fe6	A3BP890CXV4UMN	18	no	woman	yes	yes	2	2	2
01b6e4951b1d4913b2d4f2a4e22cec8a	A2U31P99HREKV7	234	no	man	no	yes	2	3	1
47823a67c3b04caaa3730345c80b02f9	AI521GBL3HJSC	55	yes	woman	no	no	1	2	3
ad0de5a20c5a4ff0b1f76ffd122b72a4	A28QUR0QYD2WI7	244	yes	woman	no	no	3	1	3
107d1f48cc874db3be5c2b109b8e7f74	A1YJY8G4QKPV00	339	no	man	yes	no	3	3	2
fd420b4441cf45e2ae0adaad4b94c540	AGXICLE365YE6	15	no	woman	no	no	3	1	2
f657620fa4b94be89dfc300b94203233	A3EUFDOUX1GCL	83	yes	woman	yes	no	2	3	1
ddf6d08c04c14aa8a0e4ea2efc6c1b82	A102UBN1SZ3L6R	79	yes	man	no	no	2	2	1
515fcfa7e22f4abb8dba9269c8d59b78	AGPGH9GLV1UAW	507	yes	man	no	no	1	3	4
5cddf9d398214aeaa1e1903097ce8f81	AX7K5UODLEK72	350	yes	man	no	no	1	3	2
5fbbf208b8e3495b8aa5e165b4f5e675	AXID3RPK6NZT6	341	yes	man	no	no	3	3	3
42a9e37e508e40b59a2fe14f5685a8af	A3B0AB2C9SIHN	60	yes	woman	no	no	3	2	4
bdced0151ac442bdbf837191a77f8e8b	A3AYR3H2AYYT5G	7	yes	woman	no	no	3	2	3
8685ed94a5ca467595e8e53f56db533c	A1QN8ZXC3FNB1W	145	no	man	no	yes	2	2	2
1717708c7af5468188e808a8d09b5c98	A2DDPSXH2X96RF	43	no	woman	yes	no	1	4	2
776646d756a04492a7e7fdb3c813f918	APPNTU0LE3T9L	236	no	woman	no	no	2	4	1
29cdecd26a474c9a867bc34f39eb828a	A1HLG5NN2I16GN	186	no	man	yes	yes	1	3	1
b37ecd2fdbf5425bbc212c8b954e1865	A1TP444NFUIY3T	13	yes	man	yes	no	1	4	1
b486104d4e8c43f0b412e93d728324db	AMUKX1DM4ASA7	13	no	woman	no	no	1	3	1
177d1ef2d9e04154aebc1220377cf23a	A1FKVFJO2M8R8V	6	yes	woman	no	no	1	3	1
6e4cbe66ebe3425f9999ce965b79bcad	A308VDNYF180ZF	50	yes	man	yes	no	1	4	2
440d8f485cf1467c919643ab70f14f01	A0231351IOD1D394IQJC	98	yes	man	no	no	1	3	2
634b383334a34f1eacd37c0ea77c0188	A93HHQ9DI0201	8	yes	woman	no	no	3	1	2
0420b007f1874068a46be1e336708ac2	A2H1RXUC8XNNIW	11	yes	man	no	no	2	3	2
920ac6c2bca14bec9edc2bbacd152a25	A2T11H7YI7QPGD	50	no	man	no	no	1	2	1
49c72c9d19f34059ab2ea00e568c7b8d	APXFQMO4UO5XQ	13	no	woman	yes	no	2	3	1
7d81b26161b74aeba60eea33fab660c6	A3L5J7CICPV3FG	26	no	woman	no	no	2	4	3
45887d31931f4c9e8fa40b11c1634621	A3TEVNU2YYO1VH	6	yes	woman	no	no	2	4	3
204bcfb7d5ce4406bcc2eb918a07fbd2	A9E9Y0LEAYO4V	104	yes	woman	no	yes	3	3	2
a5688ac3113242bfae93fa9dbc973708	A1KP6JSKQXPCSC	80	no	woman	yes	yes	1	2	2
25253721782f4152a73ae77547c07752	A1WZBD8BWMLKQK	23	yes	man	yes	yes	1	2	2
2fa8c4a0b8d945a1a32ca683a30f8430	A2KH641ASLS5P9	122	no	woman	no	no	1	4	3
cef0890b159147a995220a732d3622eb	AUFIJSWMX9MZI	6	yes	man	no	no	2	3	4
e03582117e0e4fea88de98f5e4a9a76c	A15DVB43XP2ROJ	64	no	man	no	no	1	2	2
a85e4490689345bcb6b93ca9c946d343	A3I7TW5WJBH9T1	98	no	woman	no	no	3	3	3
ff3ad5cf7d014d49be1cf508ce915ba2	A3CEIF2OXTCLGN	116	yes	undet	no	no	1	2	1
b7c885786b3743c789a9136e2b61d021	AXEZ31YCS9PJA	20	yes	man	no	no	2	1	3
969698a0aef14e8fa17471cfcad059da	A2C6OFU00UCEER	9	yes	woman	no	no	2	1	1
b15611f064144daeb3cb1a3ceb868adf	A1KFLCWGG1RE43	275	yes	man	yes	no	3	2	3
4612734ce9d54721901241e33d9adea2	A2RM9M3RR67FQO	142	yes	man	no	no	3	1	2
dc3d8860919c4c458d6bea7d92811f05	A3N9ZYQAESNFQH	16	yes	woman	no	no	3	3	2
aa07c44a0eb0496da7c8f770a89bd259	A1XDZEODPAFC5K	9	no	woman	no	no	1	3	2
db0e8db65b754ceda098c867a7a44cfd	AQ0YWEW29GSIJ	70	no	man	no	no	1	2	1
f6056bd7507d481db988911ca0bfd8a1	A2H90QIP05I3LU	156	yes	man	no	no	1	4	4
3375299d28ab42378e622ad3e878024c	A37MPHPHMGWFQB	123	no	woman	no	yes	1	3	2
074ed05e84c74e438a7417794d58879f	A1RLO9LNUJIW5S	92	no	man	yes	no	1	2	3
5c9d9698f844412d9ce16fe03e0528f8	AW1QY7Q83DYCJ	16	no	man	no	no	1	3	2
1a75419f876a4236ab64824fb534c42c	A3GNQDFPZALU92	32	no	man	no	yes	1	1	2
70540704017c4d0d9a0f2eb3c855ec89	A4H1NYJVE7C53	58	yes	woman	yes	no	1	2	2
3d10f55326ce454199f1d1a2ea4e8453	A1ITF1O2NFDPCP	96	no	man	yes	no	2	1	1
49a1c370243b459cbe1fe263a2f8933a	A18NTKREASKWCT	223	yes	man	no	no	2	2	4
3c9af6619d174b8791bb4f46de702cd7	A3332HTQYBESHD	38	yes	man	no	no	1	1	3
171f605794484af1bef0b610311c67a7	A36LH2DSKP8N7P	8	yes	man	no	no	2	3	4
7aa6b9b8c0cc45a885142269f43f1742	A66ZK7SJ1CGBZ	25	no	woman	yes	no	1	3	1
d87e4ea1a4e24844891709a2b5afc286	AE3ZQZ2Z81Z11	20	no	woman	no	no	1	3	2
ce64424317f748c5b42d6eb02098e05f	A2HRUFTA09371Y	100	no	woman	no	no	2	3	2
1ffe35b4cbf742718c064d355b991bad	A17W4VSDK9SD33	8	no	man	no	no	1	2	3
3fb5442b96fe4df284573f344ba726f9	A1WSFA9AZJK514	17	no	woman	yes	no	2	2	2
4d8d00bdee82483481b0e82c644d68bb	A20E0HQV4N11SW	88	yes	woman	no	no	3	2	2
cd85b00cc9cb4618ad00bac7d459f9e3	ALGU2HM1WHCVZ	33	yes	woman	no	no	1	3	1
b7b0b192a799413483b91e12ad12873d	A2DDWRF2Q1TJH8	10	yes	woman	no	no	2	4	2
efbc23a792744bddbc17d6843276632a	A3JFC6OJ13O1XR	260	no	woman	no	no	1	2	1
24d4f6782b9f42fbbdb26b4c4e172267	A3PXCRGJZE1QC3	16	no	man	no	no	3	1	1
f802e17881b2415baa134258b227502c	AA5QJRKG3Y0V5	40	yes	man	no	no	2	2	2
5719eb796087489eadf23713d38d50a6	A2DSF2U9PN448L	47	no	woman	no	no	1	3	4
